user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
1269383656575025155,1409249929265025024,2021-06-27T20:39:00Z,BodShameless,"Here's how you make a generation of mentally crippled, government dependant sheep. #commoncore @math #educational #funny #conedy https://t.co/ttdiAxEuut",Twitter for Android,128,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,commoncore educational funny conedy,NA,NA,NA,NA,http://pbs.twimg.com/ext_tw_video_thumb/1409249892032303107/pu/img/GVC5bF4TJgfAcNua.jpg,https://t.co/ttdiAxEuut,https://twitter.com/BodShameless/status/1409249929265025024/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1409249892032303107/pu/img/GVC5bF4TJgfAcNua.jpg,https://t.co/ttdiAxEuut,https://twitter.com/BodShameless/status/1409249929265025024/video/1,NA,671173,Math,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BodShameless/status/1409249929265025024,ShamelessDadBod,,"A chubby streamer with a wife, two kids, three pets, and a severe lack of talent and skill. I'm the premier source of dad bod on the Internet!",NA,FALSE,9,36,1,231,5,2020-06-06T21:42:41Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1269383656575025155/1600565540,NA,http://pbs.twimg.com/profile_images/1269384294025355265/kmckBEXf_normal.jpg
75184478,1409200843245633536,2021-06-27T17:23:57Z,warriors_mom,Families that switched to home school say they won't go back! 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾 Washington Times #StopCRT #StopCommonCore #StopEducationAbuse  https://t.co/TwDL8l794D,Twitter for iPhone,175,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,StopCRT StopCommonCore StopEducationAbuse,NA,washingtontimes.com/news/2021/jun/…,https://t.co/TwDL8l794D,https://www.washingtontimes.com/news/2021/jun/27/families-that-switched-to-home-school-say-they-won/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/warriors_mom/status/1409200843245633536,TheCyberChick,MN lakes to TN mountains,#MilitaryFamily #CyberSecurity Personal IMHO acct here. I ask tough questions. All tweets subject to misinterpretation. Proudly Biracial.,https://t.co/AWXR0ex3iu,FALSE,8843,9362,603,265987,89716,2009-09-18T02:58:17Z,FALSE,https://t.co/AWXR0ex3iu,http://www.ReconComputing.com,NA,https://pbs.twimg.com/profile_banners/75184478/1398269871,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/554705065047388160/15Pf51AV_normal.jpeg
1398173362199797760,1409144498622320645,2021-06-27T13:40:03Z,midorvya,@chi2ato @huaIicn End call again pag ccss (cute na cute sa sarile)😒🙏🏽😉🤞,Twitter Web App,53,1409144287015542785,1383566261687181312,chi2ato,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383566261687181312 1383324043021934598,chi2ato huaIicn,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/midorvya/status/1409144498622320645,ً,"— kahel, 14
he/him no they !
ic: artistramz",do not disturb im busy kissing @y2oru,https://t.co/MBZUuL4ZxC,FALSE,96,87,1,1769,367,2021-05-28T07:04:54Z,FALSE,https://t.co/MBZUuL4ZxC,http://yui-chiro.carrd.co,NA,https://pbs.twimg.com/profile_banners/1398173362199797760/1624786285,NA,http://pbs.twimg.com/profile_images/1409081427421908992/fMiLJNxR_normal.png
1309809648145367040,1409108528321613828,2021-06-27T11:17:07Z,__ccss__,"Too much ♀️🔶 today. I'm very satisfied 🤗

#Chili #Tartali #タル鍾 https://t.co/2a7HkSvzEr",Twitter for Android,101,NA,NA,NA,FALSE,TRUE,0,331,NA,NA,Chili Tartali タル鍾,NA,NA,NA,NA,http://pbs.twimg.com/media/E40woCBVUAAPkh7.jpg,https://t.co/2a7HkSvzEr,https://twitter.com/NaibuMoah/status/1408835725882130434/photo/1,photo,http://pbs.twimg.com/media/E40woCBVUAAPkh7.jpg,https://t.co/2a7HkSvzEr,https://twitter.com/NaibuMoah/status/1408835725882130434/photo/1,NA,1198967809990021122,NaibuMoah,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408835725882130434,"Too much ♀️🔶 today. I'm very satisfied 🤗

#Chili #Tartali #タル鍾 https://t.co/2a7HkSvzEr",2021-06-26T17:13:06Z,Twitter for Android,1331,331,1198967809990021122,NaibuMoah,Lilium💧🔶️,609,521,51,,"only 💧🔶️, no switch, and not good at English sr about it 🥺",FALSE,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/__ccss__/status/1409108528321613828,pls send help🥰,,"Hi 20+ 😄|🔶💧|💧🔶|I draw sometimes
zhongli jiejie brainrot🤤",NA,FALSE,11,357,8,372,29228,2020-09-26T10:59:08Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1309809648145367040/1620009275,NA,http://pbs.twimg.com/profile_images/1395231971014418432/CLY65cpX_normal.jpg
1309809648145367040,1408462456561684483,2021-06-25T16:29:52Z,__ccss__,"bunli thoughts 🐰 ft. childe 
#tartali #タル鍾 #公钟 https://t.co/IRVXaFVZBr",Twitter for Android,89,NA,NA,NA,FALSE,TRUE,0,219,NA,NA,tartali タル鍾 公钟,NA,NA,NA,NA,http://pbs.twimg.com/media/E4uHXmgUYAIYPGd.jpg,https://t.co/IRVXaFVZBr,https://twitter.com/elleberryhues/status/1408442609052393479/photo/1,photo,http://pbs.twimg.com/media/E4uHXmgUYAIYPGd.jpg http://pbs.twimg.com/media/E4uHXnhUUAEV0yJ.jpg,https://t.co/IRVXaFVZBr https://t.co/IRVXaFVZBr,https://twitter.com/elleberryhues/status/1408442609052393479/photo/1 https://twitter.com/elleberryhues/status/1408442609052393479/photo/1,NA,970565566111956992,elleberryhues,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408442609052393479,"bunli thoughts 🐰 ft. childe 
#tartali #タル鍾 #公钟 https://t.co/IRVXaFVZBr",2021-06-25T15:11:00Z,Twitter Web App,1039,219,970565566111956992,elleberryhues,elle 💫,4927,339,4012,,"20+ ▪︎ 🇵🇭  ▪︎ she/her ▪︎ genshin brainrots ▪︎ kaeya and zhongli stan ▪︎ mainly 💧🔶️ , ❄🔥 ▪︎ comms: open ▪︎ shop link 👇",FALSE,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/__ccss__/status/1408462456561684483,pls send help🥰,,"Hi 20+ 😄|🔶💧|💧🔶|I draw sometimes
zhongli jiejie brainrot🤤",NA,FALSE,11,357,8,372,29228,2020-09-26T10:59:08Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1309809648145367040/1620009275,NA,http://pbs.twimg.com/profile_images/1395231971014418432/CLY65cpX_normal.jpg
1309809648145367040,1407343922884579338,2021-06-22T14:25:13Z,__ccss__,#TartaLi summer～！ https://t.co/6SErirl0be,Twitter for Android,59,NA,NA,NA,FALSE,TRUE,0,17404,NA,NA,TartaLi,NA,NA,NA,NA,http://pbs.twimg.com/media/E4fXwr8XMAIxYgP.jpg,https://t.co/6SErirl0be,https://twitter.com/Qing11502143/status/1407330657622183936/photo/1,photo,http://pbs.twimg.com/media/E4fXwr8XMAIxYgP.jpg,https://t.co/6SErirl0be,https://twitter.com/Qing11502143/status/1407330657622183936/photo/1,NA,1327189964434489344,Qing11502143,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1407330657622183936,#TartaLi summer～！ https://t.co/6SErirl0be,2021-06-22T13:32:30Z,Twitter for iPhone,67287,17404,1327189964434489344,Qing11502143,Qing,116578,104,85,,"Hello! I'm new to Twitter & English, sorry for not responding to you in time. Thanks for loving my works! 💧🔶only",FALSE,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/__ccss__/status/1407343922884579338,pls send help🥰,,"Hi 20+ 😄|🔶💧|💧🔶|I draw sometimes
zhongli jiejie brainrot🤤",NA,FALSE,11,357,8,372,29228,2020-09-26T10:59:08Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1309809648145367040/1620009275,NA,http://pbs.twimg.com/profile_images/1395231971014418432/CLY65cpX_normal.jpg
7117302,1409055938598817792,2021-06-27T07:48:09Z,ozsultan,"@sfchronicle This is even more evidence that we need a complete overhaul of the American educational system to plan for the wildly different tech connected job force of now and the next 50 years

#OBE, #CRT, #CommonCore and dated curricula are failing our children",Twitter for iPhone,251,1409052478277103616,121597316,sfchronicle,FALSE,FALSE,1,0,NA,NA,OBE CRT CommonCore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121597316,sfchronicle,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/ozsultan/status/1409055938598817792,Oz Sultan,"New York, NY","#Blockchain and #Defi strategy, #Counterterrorism, District Leader AD70 #Harlem 🇺🇸, #Interfaith, #AntiHumanTrafficking Advisor @paccoinofficial @radiologex",NA,FALSE,8790,8213,496,65205,33924,2007-06-27T20:09:29Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/7117302/1604779224,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1299446694011076619/MLuJLPXq_normal.jpg
1265693753735622656,1408908302533251077,2021-06-26T22:01:30Z,snarkyeducator9,@kath_todd @CaffLibrarian @aubsorama @JasonReynolds83 Down here in the Southeast. 😏 Working to make Pearson and Lucy Calkins a buck 💰 THAT’S the *real* crime about the CCSS adoption 😂,Twitter for iPhone,129,1408780923332669442,2183032820,kath_todd,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2183032820 124501299 47470455 22417382,kath_todd CaffLibrarian aubsorama JasonReynolds83,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/snarkyeducator9/status/1408908302533251077,Knowledge is Power,,She/Her - Snark is about all I can get away with before I lose my job...,NA,FALSE,25,119,0,388,814,2020-05-27T17:18:14Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1265693753735622656/1601687063,NA,http://pbs.twimg.com/profile_images/1312196661054144512/hGPc33Zu_normal.jpg
1104600847466475520,1408878860700053504,2021-06-26T20:04:30Z,cowoboyemoji,"@m0bloo @ranbonkerz gil they're 2 different people and independent ccss from each other, saying that they have to be combined it undermining their individual success",Twitter Web App,145,1408878682785996801,1104600847466475520,cowoboyemoji,FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295469599991844866 1283548218341486592,m0bloo ranbonkerz,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/cowoboyemoji/status/1408878860700053504,awika || pickles suck,they/them (he/him),disgruntled walmart employee,NA,FALSE,43,326,0,1835,7289,2019-03-10T04:32:19Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1104600847466475520/1620610561,NA,http://pbs.twimg.com/profile_images/1391567668713431045/k3VUcaeG_normal.jpg
984570229496864768,1408873016440745984,2021-06-26T19:41:17Z,StillFreeSCOTTY,This is #CommonCore https://t.co/RWJRFaxVao,Twitter for Android,19,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,CommonCore,NA,NA,NA,NA,http://pbs.twimg.com/media/E41SioTVoAAvemA.jpg,https://t.co/RWJRFaxVao,https://twitter.com/StillFreeSCOTTY/status/1408873016440745984/photo/1,photo,http://pbs.twimg.com/media/E41SioTVoAAvemA.jpg,https://t.co/RWJRFaxVao,https://twitter.com/StillFreeSCOTTY/status/1408873016440745984/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/StillFreeSCOTTY/status/1408873016440745984,FreeThinkingPatriotNeanderthal,http://RecallGavin2020.com,"🗽YOU CAN'T BE FOR BIG GOVERNMENT, BIG TAXES, AND BIG BUREAUCRACY AND STILL BE FOR THE LITTLE GUY~Ronald Reagan🇺🇲TrumpDeSantis2024🇺🇸

#RecallGavinNewsom💀",https://t.co/CJymKN0s1x,FALSE,3934,3610,1,71183,108444,2018-04-12T23:13:29Z,FALSE,https://t.co/CJymKN0s1x,http://blackgenocide.org/planned.html,NA,https://pbs.twimg.com/profile_banners/984570229496864768/1616503944,NA,http://pbs.twimg.com/profile_images/1374363962830098434/NHUYmh_6_normal.jpg
